,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Belyy Yar,53.6,91.39,44.6,76,26,13.42,RU,1602680885
1,Tuktoyaktuk,69.45,-133.04,20.73,95,82,10.25,CA,1602680341
2,Ushuaia,-54.8,-68.3,42.8,60,40,25.28,AR,1602680803
3,Albany,42.6,-73.97,51.01,80,0,5.64,US,1602680333
4,Ribeira Grande,38.52,-28.7,75.2,64,20,9.17,PT,1602680336
5,Cape Town,-33.93,18.42,79.0,31,0,8.05,ZA,1602680119
6,Longyearbyen,78.22,15.64,32.0,93,40,16.11,SJ,1602680151
7,Hilo,19.73,-155.09,69.8,68,1,6.93,US,1602680346
8,Atuona,-9.8,-139.03,77.02,76,40,19.46,PF,1602680885
9,Saint-Joseph,-21.37,55.62,80.6,65,29,11.41,RE,1602680885
10,Talnakh,69.49,88.4,26.6,92,90,17.9,RU,1602680333
11,Bethel,41.37,-73.41,46.0,100,1,3.69,US,1602680149
12,Taoudenni,22.68,-3.98,104.16,10,19,5.59,ML,1602680886
13,Salalah,17.02,54.09,84.2,79,20,11.41,OM,1602680441
14,Port Blair,11.67,92.75,81.28,82,84,15.17,IN,1602680484
15,Midland,32.0,-102.08,64.99,77,1,8.05,US,1602680670
16,Rikitea,-23.12,-134.97,72.52,80,1,17.34,PF,1602680334
17,Vuktyl,63.86,57.31,36.55,79,88,10.63,RU,1602680886
18,Bluff,-46.6,168.33,37.99,87,87,1.99,NZ,1602680886
19,Brigham City,41.51,-112.02,59.0,54,90,10.29,US,1602680883
20,Butaritari,3.07,172.79,82.24,74,100,15.21,KI,1602680332
21,Busselton,-33.65,115.33,59.0,63,0,14.61,AU,1602680333
22,Hong Kong,22.29,114.16,79.0,81,92,4.0,HK,1602680300
23,Kapaa,22.08,-159.32,73.4,88,20,5.82,US,1602680886
24,Dingle,11.0,122.67,75.18,89,100,0.45,PH,1602680341
25,Chistogorskiy,53.98,87.38,42.06,86,89,5.08,RU,1602680887
26,Necochea,-38.55,-58.74,57.99,75,0,10.0,AR,1602680574
27,Petropavl,54.88,69.16,60.8,31,70,13.42,KZ,1602680887
28,Rawson,-43.3,-65.1,56.08,36,0,9.26,AR,1602680347
29,Harper,4.38,-7.72,79.81,84,23,7.78,LR,1602680477
30,Vardø,70.37,31.11,35.6,93,75,31.09,NO,1602680444
31,Hermanus,-34.42,19.23,77.0,46,0,5.99,ZA,1602680047
32,Vaini,-21.2,-175.2,69.8,56,20,6.93,TO,1602680298
33,Caceres,39.52,-6.37,66.0,39,0,8.01,ES,1602680887
34,Lundazi,-12.29,33.18,86.83,34,76,12.5,ZM,1602680887
35,Hasaki,35.73,140.83,66.2,68,75,4.7,JP,1602680338
36,Port Alfred,-33.59,26.89,65.32,61,0,12.06,ZA,1602680338
37,Paranaíba,-19.68,-51.19,96.84,26,2,4.81,BR,1602680888
38,Khatanga,71.97,102.5,22.24,97,100,11.74,RU,1602680342
39,Geraldton,-28.77,114.6,64.4,72,40,10.29,AU,1602680344
40,Vestmannaeyjar,63.44,-20.27,48.2,87,90,19.46,IS,1602680361
41,Abhā,18.22,42.51,77.0,68,40,8.05,SA,1602680888
42,West Wendover,40.74,-114.07,62.6,33,1,4.7,US,1602680888
43,Lata,40.16,-8.33,62.01,60,0,8.01,PT,1602680399
44,Olafsvik,64.89,-23.71,47.53,93,100,26.98,IS,1602680348
45,Luanda,-8.84,13.23,82.4,61,40,11.41,AO,1602680888
46,Provideniya,64.38,-173.3,29.35,92,88,3.94,RU,1602680337
47,Mataura,-46.19,168.86,37.99,87,93,1.99,NZ,1602680888
48,Quatre Cocos,-20.21,57.76,80.6,65,20,11.41,MU,1602680107
